Time,Country,Weights,Event,Actual,Forecast,Previous,Actual_numeric,Forecast_numeric,Previous_numeric
2015-01-02 16:45:00,USD,3,Wskaźnik PMI dla przemysłu  ,"53,9","53,7","53,7",53.9,53.7,53.7
2015-01-02 17:00:00,USD,3,Wskaźnik ISM dla przemysłu  ,"55,5","57,6","58,7",55.5,57.6,58.7
2015-01-06 16:45:00,USD,3,Wskaźnik PMI dla usług  ,"53,3","53,8","53,6",53.3,53.8,53.6
2015-01-06 17:00:00,USD,3,Wskaźnik ISM dla usług  ,"56,2","58,0","59,3",56.2,58.0,59.3
2015-01-07 15:15:00,USD,3,Zmiana pozarolniczego zatrudnienia ADP  ,241K,226K,227K,241000.0,226000.0,227000.0
2015-01-07 17:30:00,USD,3,Zapasy ropy naftowej,"-3,062M","0,880M","-1,754M",-3062000.0,880000.0,-1754000.0
2015-01-08 15:30:00,USD,3,Zadeklarowani wstępni bezrobotni,294K,290K,298K,294000.0,290000.0,298000.0
2015-01-09 15:30:00,USD,3,Przeciętne godzinowe wynagrodzenie (m/m)  ,"-0,2%","0,2%","0,2%",-0.2%,0.2%,0.2%
2015-01-09 15:30:00,USD,3,Zmiana zatrudnienia w sektorach pozarolniczych  ,252K,240K,353K,252000.0,240000.0,353000.0
2015-01-09 15:30:00,USD,3,Stopa bezrobocia  ,"5,6%","5,7%","5,8%",5.6%,5.7%,5.8%
2015-01-13 17:00:00,USD,3,Badanie ofert pracy i rotacji pracowników (JOLTS) - USA  ,"4,972M","4,863M","4,830M",4972000.0,4863000.0,4830000.0
2015-01-14 15:30:00,USD,3,Bazowa sprzedaż detaliczna (m/m)  ,"-1,0%","0,1%","0,1%",-1.0%,0.1%,0.1%
2015-01-14 15:30:00,USD,3,Sprzedaż detaliczna (m/m)  ,"-0,9%","-0,1%","0,4%",-0.9%,-0.1%,0.4%
2015-01-14 17:30:00,USD,3,Zapasy ropy naftowej,"5,389M","0,417M","-3,062M",5389000.0,417000.0,-3062000.0
2015-01-15 15:30:00,USD,3,Zadeklarowani wstępni bezrobotni,316K,291K,297K,316000.0,291000.0,297000.0
2015-01-15 15:30:00,USD,3,Wskaźnik PPI (m/m)  ,"-0,3%","-0,4%","-0,2%",-0.3%,-0.4%,-0.2%
2015-01-15 17:00:00,USD,3,Wskaźnik przemysłowy wg Fed z Filadelfii  ,"6,3","19,9","24,5",6.3,19.9,24.5
2015-01-16 15:30:00,USD,3,Bazowy wskaźnik CPI (m/m)  ,"0,0%","0,1%","0,1%",0.0%,0.1%,0.1%
2015-01-16 15:30:00,USD,3,Wskaźnik CPI (m/m)  ,"-0,4%","-0,4%","-0,3%",-0.4%,-0.4%,-0.3%
2015-01-16 15:30:00,USD,3,Wskaźnik CPI (r/r)  ,"0,8%","0,7%","1,3%",0.8%,0.7%,1.3%
2015-01-22 15:30:00,USD,3,Zadeklarowani wstępni bezrobotni,307K,300K,317K,307000.0,300000.0,317000.0
2015-01-22 18:00:00,USD,3,Zapasy ropy naftowej,"10,071M","2,617M","5,389M",10071000.0,2617000.0,5389000.0
2015-01-23 16:45:00,USD,3,Wskaźnik PMI dla przemysłu  ,"53,7","54,0","53,9",53.7,54.0,53.9
2015-01-23 17:00:00,USD,3,Sprzedaż domów na rynku wtórnym  ,"5,04M","5,06M","4,92M",5040000.0,5060000.0,4920000.0
2015-01-27 16:45:00,USD,3,Wskaźnik PMI dla usług  ,"54,0","53,8","53,3",54.0,53.8,53.3
2015-01-27 17:00:00,USD,3,Wskaźnik zaufania konsumentów wg Conference Board  ,"102,9","95,1","93,1",102.9,95.1,93.1
2015-01-27 17:00:00,USD,3,Sprzedaż nowych nieruchomości  ,481K,450K,431K,481000.0,450000.0,431000.0
2015-01-28 17:30:00,USD,3,Zapasy ropy naftowej,"8,874M","4,080M","10,071M",8874000.0,4080000.0,10071000.0
2015-01-28 21:00:00,USD,3,Decyzja w sprawie stóp procentowych,"0,25%","0,25%","0,25%",0.25%,0.25%,0.25%
2015-01-29 15:30:00,USD,3,Zadeklarowani wstępni bezrobotni,265K,300K,308K,265000.0,300000.0,308000.0
2015-01-30 15:30:00,USD,3,PKB (k/k)  (Q4),"2,6%","3,0%","5,0%",2.6%,3.0%,5.0%
2015-02-02 15:30:00,USD,3,Bazowy indeks cen wydatków konsumpcyjnych (Core PCE) (r/r)  ,"1,3%","1,3%","1,4%",1.3%,1.3%,1.4%
2015-02-02 15:30:00,USD,3,Bazowy indeks cen wydatków konsumpcyjnych (PCE) (m/m)  ,"0,0%","0,1%","0,0%",0.0%,0.1%,0.0%
2015-02-02 16:45:00,USD,3,Wskaźnik PMI dla przemysłu  ,"53,9","54,1","53,7",53.9,54.1,53.7
2015-02-02 17:00:00,USD,3,Wskaźnik ISM dla przemysłu  ,"53,5","54,5","55,5",53.5,54.5,55.5
2015-02-04 15:15:00,USD,3,Zmiana pozarolniczego zatrudnienia ADP  ,213K,225K,253K,213000.0,225000.0,253000.0
2015-02-04 16:45:00,USD,3,Wskaźnik PMI dla usług  ,"54,2","54,3","54,0",54.2,54.3,54.0
2015-02-04 17:00:00,USD,3,Wskaźnik ISM dla usług  ,"56,7","56,3","56,2",56.7,56.3,56.2
2015-02-04 17:30:00,USD,3,Zapasy ropy naftowej,"6,333M","3,467M","8,874M",6333000.0,3467000.0,8874000.0
2015-02-05 15:30:00,USD,3,Zadeklarowani wstępni bezrobotni,278K,290K,267K,278000.0,290000.0,267000.0
2015-02-06 15:30:00,USD,3,Przeciętne godzinowe wynagrodzenie (m/m)  ,"0,5%","0,3%","-0,2%",0.5%,0.3%,-0.2%
2015-02-06 15:30:00,USD,3,Zmiana zatrudnienia w sektorach pozarolniczych  ,257K,234K,329K,257000.0,234000.0,329000.0
2015-02-06 15:30:00,USD,3,Stopa bezrobocia  ,"5,7%","5,6%","5,6%",5.7%,5.6%,5.6%
2015-02-10 17:00:00,USD,3,Badanie ofert pracy i rotacji pracowników (JOLTS) - USA  ,"5,028M","4,990M","4,847M",5028000.0,4990000.0,4847000.0
2015-02-11 17:30:00,USD,3,Zapasy ropy naftowej,"4,868M","3,733M","6,333M",4868000.0,3733000.0,6333000.0
2015-02-12 15:30:00,USD,3,Bazowa sprzedaż detaliczna (m/m)  ,"-0,9%","-0,4%","-0,9%",-0.9%,-0.4%,-0.9%
2015-02-12 15:30:00,USD,3,Zadeklarowani wstępni bezrobotni,304K,285K,279K,304000.0,285000.0,279000.0
2015-02-12 15:30:00,USD,3,Sprzedaż detaliczna (m/m)  ,"-0,8%","-0,5%","-0,9%",-0.8%,-0.5%,-0.9%
2015-02-18 15:30:00,USD,3,Wskaźnik PPI (m/m)  ,"-0,8%","-0,4%","-0,3%",-0.8%,-0.4%,-0.3%
2015-02-19 15:30:00,USD,3,Zadeklarowani wstępni bezrobotni,283K,293K,304K,283000.0,293000.0,304000.0
2015-02-19 17:00:00,USD,3,Wskaźnik przemysłowy wg Fed z Filadelfii  ,"5,2","9,3","6,3",5.2,9.3,6.3
2015-02-19 18:00:00,USD,3,Zapasy ropy naftowej,"7,716M","3,233M","4,868M",7716000.0,3233000.0,4868000.0
2015-02-20 16:45:00,USD,3,Wskaźnik PMI dla przemysłu  ,"54,3","53,6","53,9",54.3,53.6,53.9
2015-02-23 17:00:00,USD,3,Sprzedaż domów na rynku wtórnym  ,"4,82M","4,97M","5,07M",4820000.0,4970000.0,5070000.0
2015-02-24 16:45:00,USD,3,Wskaźnik PMI dla usług  ,"57,0","54,1","54,2",57.0,54.1,54.2
2015-02-24 17:00:00,USD,3,Wskaźnik zaufania konsumentów wg Conference Board  ,"96,4","99,6","103,8",96.4,99.6,103.8
2015-02-25 17:00:00,USD,3,Sprzedaż nowych nieruchomości  ,481K,475K,482K,481000.0,475000.0,482000.0
2015-02-25 17:30:00,USD,3,Zapasy ropy naftowej,"8,427M","3,983M","7,716M",8427000.0,3983000.0,7716000.0
2015-02-26 15:30:00,USD,3,Bazowy wskaźnik CPI (m/m)  ,"0,2%","0,1%","0,0%",0.2%,0.1%,0.0%
