time,close,open,low,high
2023-12-01 09:31:00,70.87,70.93,70.86,70.93
2023-12-01 09:32:00,70.75,70.73,70.7,70.75
2023-12-01 09:33:00,70.8,70.73,70.73,70.8
2023-12-01 09:34:00,70.86,70.82,70.78,70.86
2023-12-01 09:35:00,70.97,70.91,70.91,70.97
2023-12-01 09:36:00,71.05,70.96,70.96,71.05
2023-12-01 09:37:00,71.015,71.01,71.0,71.06
2023-12-01 09:38:00,70.94,70.95,70.94,70.95
2023-12-01 09:39:00,70.98,70.93,70.93,70.98
2023-12-01 09:40:00,70.95,70.97,70.95,70.98
2023-12-01 09:41:00,70.97,70.98,70.97,71.05
2023-12-01 09:42:00,71.02,70.98,70.98,71.02
2023-12-01 09:43:00,71.05,71.03,71.03,71.09
2023-12-01 09:44:00,71.04,71.03,71.03,71.04
2023-12-01 09:45:00,71.05,71.05,71.05,71.05
2023-12-01 09:46:00,71.06,71.06,71.06,71.06
2023-12-01 09:47:00,71.03,71.04,70.96,71.04
2023-12-01 09:48:00,71.06,71.03,71.03,71.07
2023-12-01 09:49:00,71.06,71.06,71.06,71.06
2023-12-01 09:50:00,71.06,71.06,71.05,71.06
2023-12-01 09:51:00,71.03,71.05,71.02,71.07
2023-12-01 09:52:00,71.1,71.08,71.08,71.1
2023-12-01 09:53:00,71.02,71.03,71.02,71.03
2023-12-01 09:54:00,71.02,71.03,71.02,71.03
2023-12-01 09:55:00,70.98,70.98,70.98,70.98
2023-12-01 09:56:00,70.97,70.97,70.97,70.97
2023-12-01 09:57:00,71.06,71.04,71.04,71.06
2023-12-01 09:58:00,70.99,70.99,70.98,70.99
2023-12-01 09:59:00,71.05,70.97,70.97,71.05
2023-12-01 10:00:00,71.2,71.15,71.15,71.2
2023-12-01 10:01:00,71.21,71.21,71.21,71.21
2023-12-01 10:02:00,71.33,71.32,71.32,71.39
2023-12-01 10:03:00,71.4,71.42,71.4,71.42
2023-12-01 10:04:00,71.45,71.41,71.41,71.45
2023-12-01 10:05:00,71.42,71.45,71.42,71.45
2023-12-01 10:06:00,71.43,71.445,71.41,71.445
2023-12-01 10:07:00,71.41,71.41,71.41,71.41
2023-12-01 10:08:00,71.49,71.42,71.42,71.5
2023-12-01 10:09:00,71.46,71.48,71.46,71.51
2023-12-01 10:10:00,71.48,71.47,71.47,71.48
2023-12-01 10:11:00,71.48,71.48,71.48,71.48
2023-12-01 10:12:00,71.48,71.48,71.48,71.48
